game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,1,1,101,0.142946,5,"{""C01"": 1.042744, ""C02"": 1.06733, ""C03"": 1.355583, ""C04"": 1.353882, ""C05"": 1.890127}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1682}","{""C01"": 0.025222988505933033, ""C02"": 0.025222988505933033, ""C03"": 0.025222988505933033, ""C04"": 0.025222988505933033, ""C05"": 0.024248933877262818}"
2,2,1,100,0.197889,5,"{""C01"": 1.057263, ""C02"": 1.077619, ""C03"": 1.367979, ""C04"": 1.364416, ""C05"": 1.915167}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1675}","{""C01"": 0.02523179920380786, ""C02"": 0.02523179920380786, ""C03"": 0.02523179920380786, ""C04"": 0.02523179920380786, ""C05"": 0.024261798602755718}"
3,3,1,100,0.140241,5,"{""C01"": 1.069537, ""C02"": 1.085641, ""C03"": 1.377926, ""C04"": 1.373964, ""C05"": 1.940024}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1668}","{""C01"": 0.025240298300686845, ""C02"": 0.025240298300686845, ""C03"": 0.025240298300686845, ""C04"": 0.025240298300686845, ""C05"": 0.024274352487062993}"
4,4,1,99,0.138434,5,"{""C01"": 1.079526, ""C02"": 1.091621, ""C03"": 1.386012, ""C04"": 1.383142, ""C05"": 1.965243}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1661}","{""C01"": 0.02524876592177465, ""C02"": 0.02524876592177465, ""C03"": 0.02524876592177465, ""C04"": 0.02524876592177465, ""C05"": 0.02428687497304662}"
5,5,1,98,0.144997,5,"{""C01"": 1.087283, ""C02"": 1.09586, ""C03"": 1.392857, ""C04"": 1.3925, ""C05"": 1.991202}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1654}","{""C01"": 0.025257382696732875, ""C02"": 0.025257382696732875, ""C03"": 0.025257382696732875, ""C04"": 0.025257382696732875, ""C05"": 0.024299546242621192}"
6,6,1,97,0.135904,5,"{""C01"": 1.092953, ""C02"": 1.098722, ""C03"": 1.39908, ""C04"": 1.402502, ""C05"": 2.0181}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1647}","{""C01"": 0.025266231435585693, ""C02"": 0.025266231435585693, ""C03"": 0.025266231435585693, ""C04"": 0.025266231435585693, ""C05"": 0.02431244889393649}"
7,7,1,97,0.136768,5,"{""C01"": 1.096769, ""C02"": 1.100614, ""C03"": 1.405269, ""C04"": 1.413501, ""C05"": 2.045952}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1640}","{""C01"": 0.02527530234668894, ""C02"": 0.02527530234668894, ""C03"": 0.02527530234668894, ""C04"": 0.02527530234668894, ""C05"": 0.024325573151757977}"
8,8,1,96,0.139359,5,"{""C01"": 1.099035, ""C02"": 1.101962, ""C03"": 1.411945, ""C04"": 1.425719, ""C05"": 2.074597}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1633}","{""C01"": 0.025284504540606226, ""C02"": 0.025284504540606226, ""C03"": 0.025284504540606226, ""C04"": 0.025284504540606226, ""C05"": 0.024338828347716626}"
9,9,1,96,0.135611,5,"{""C01"": 1.100119, ""C02"": 1.103188, ""C03"": 1.419537, ""C04"": 1.439239, ""C05"": 2.103718}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1626}","{""C01"": 0.02529368254798603, ""C02"": 0.02529368254798603, ""C03"": 0.02529368254798603, ""C04"": 0.02529368254798603, ""C05"": 0.024352059401206754}"
10,10,1,95,0.133409,5,"{""C01"": 1.100423, ""C02"": 1.104688, ""C03"": 1.428358, ""C04"": 1.454008, ""C05"": 2.132865}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 1619}","{""C01"": 0.025302632819426185, ""C02"": 0.025302632819426185, ""C03"": 0.025302632819426185, ""C04"": 0.025302632819426185, ""C05"": 0.024365063281249287}"
